distancia_km,pl_800,pl_1800,rsrp_800,rsrp_1800,cumple_800,cumple_1800,delta_rsrp_800_menos_1800,geometry
1.1253724979417228,128.0097310373766,142.16863490066945,-96.00973103737661,-110.16863490066945,True,False,14.158903863292835,POINT (439519.1451949565 4481644.430978067)
1.1084858909512474,127.77503469152738,141.9339385548202,-95.77503469152738,-109.9339385548202,True,False,14.15890386329282,POINT (439484.35854563664 4481641.529670474)
1.1018340624299316,127.68160207539688,141.84050593868972,-95.68160207539688,-109.84050593868972,True,False,14.158903863292835,POINT (439474.9506135872 4481643.389774553)
1.0942368717454096,127.57419826402183,141.73310212731465,-95.57419826402183,-109.73310212731465,True,False,14.15890386329282,POINT (439462.57639536203 4481644.555597314)
1.1018340624299316,127.68160207539688,141.84050593868972,-95.68160207539688,-109.84050593868972,True,False,14.158903863292835,POINT (439474.9506135872 4481643.389774553)
1.0805971540917836,127.37948467896858,141.5383885422614,-95.37948467896858,-109.5383885422614,True,False,14.15890386329282,POINT (439463.15919622174 4481661.0577940615)
1.0805971540917836,127.37948467896858,141.5383885422614,-95.37948467896858,-109.5383885422614,True,False,14.15890386329282,POINT (439463.15919622174 4481661.0577940615)
1.0517216481908116,126.95903375402415,141.11793761731698,-94.95903375402415,-109.11793761731698,True,False,14.158903863292835,POINT (439461.22382487886 4481694.2204976715)
1.0517216481908116,126.95903375402415,141.11793761731698,-94.95903375402415,-109.11793761731698,True,False,14.158903863292835,POINT (439461.22382487886 4481694.2204976715)
1.0729852155433692,127.26974924323639,141.4286531065292,-95.26974924323639,-109.4286531065292,True,False,14.158903863292807,POINT (439450.0203998673 4481661.76922614)
1.0517216481908116,126.95903375402415,141.11793761731698,-94.95903375402415,-109.11793761731698,True,False,14.158903863292835,POINT (439461.22382487886 4481694.2204976715)
1.0228436330475192,126.52683890669056,140.68574276998336,-94.52683890669056,-108.68574276998336,True,False,14.158903863292807,POINT (439461.49571762694 4481729.218687977)
0.99429822837508,126.08745914108366,140.24636300437646,-94.08745914108366,-108.24636300437646,True,False,14.158903863292807,POINT (439461.6654098999 4481764.218249889)
0.9731183235100812,125.75322119044732,139.91212505374014,-93.75322119044732,-107.91212505374014,True,False,14.15890386329282,POINT (439462.3542384885 4481790.943875077)
1.0010013192173026,126.19175809013986,140.35066195343268,-94.19175809013986,-108.35066195343268,True,False,14.15890386329282,POINT (439461.6233847142 4481755.952883825)
1.029643326990274,126.62969306276928,140.7885969260621,-94.62969306276928,-108.7885969260621,True,False,14.15890386329282,POINT (439461.4562468234 4481720.9532829)
0.9731183235100812,125.75322119044732,139.91212505374014,-93.75322119044732,-107.91212505374014,True,False,14.15890386329282,POINT (439462.3542384885 4481790.943875077)
0.9455186144542016,125.30658597858624,139.46548984187905,-93.30658597858624,-107.46548984187905,True,False,14.158903863292807,POINT (439462.7840324918 4481825.94123608)
0.918449724887497,124.85569272290356,139.01459658619638,-92.85569272290356,-107.01459658619638,True,False,14.15890386329282,POINT (439463.2547042537 4481860.938066748)
0.891937964824419,124.40100909284496,138.55991295613777,-92.40100909284496,-106.55991295613777,True,False,14.158903863292807,POINT (439463.732988772 4481895.934798651)
0.865982469414371,123.94257915906215,138.10148302235498,-91.94257915906215,-106.10148302235498,True,False,14.158903863292835,POINT (439464.1425099516 4481930.932369442)
0.8406592344749017,123.4818772589922,137.64078112228503,-91.4818772589922,-105.64078112228503,True,False,14.158903863292835,POINT (439464.5181349338 4481965.930353753)
0.9731183235100812,125.75322119044732,139.91212505374014,-93.75322119044732,-107.91212505374014,True,False,14.15890386329282,POINT (439462.3542384885 4481790.943875077)
0.9806623651273244,125.8730998060072,140.03200366930002,-93.8730998060072,-108.03200366930002,True,False,14.15890386329282,POINT (439491.53035230975 4481803.8343134895)
0.9706191588071806,125.71330318750853,139.87220705080136,-93.71330318750853,-107.87220705080136,True,False,14.158903863292835,POINT (439511.0605815307 4481832.878592557)
0.9664172230281203,125.64595535681123,139.80485922010405,-93.64595535681123,-107.80485922010405,True,False,14.15890386329282,POINT (439534.23158074816 4481858.921355295)
0.9710875819168633,125.7207929143804,139.87969677767322,-93.7207929143804,-107.87969677767322,True,False,14.15890386329282,POINT (439562.61894029373 4481879.3946724115)
1.4320815264826563,131.7510540894671,145.9099579527599,-99.75105408946709,-113.9099579527599,True,False,14.158903863292807,POINT (440149.1456240382 4483239.467329174)
1.4186548396166119,131.60482751255822,145.76373137585102,-99.60482751255822,-113.76373137585102,True,False,14.158903863292807,POINT (440121.9526659868 4483261.502369779)
1.4059393676346814,131.4650650151526,145.6239688784454,-99.46506501515259,-113.6239688784454,True,False,14.158903863292807,POINT (440094.73846195894 4483283.510299083)
1.3930850577418012,131.32248573158984,145.48138959488267,-99.32248573158984,-113.48138959488267,True,False,14.158903863292835,POINT (440066.93046014704 4483304.763886993)
1.4320815264826563,131.7510540894671,145.9099579527599,-99.75105408946709,-113.9099579527599,True,False,14.158903863292807,POINT (440149.1456240382 4483239.467329174)
